departamento,año,mes,fecha,clave,PC1,PC2,PC3,PC4,PC5,PC6,PC7,FIES_moderado_grave,FIES_grave
Amazonas,2022,enero,2022-01-01,Amazonas_2022_enero,1.4042943283934994,-7.025969044391802,0.8316976094571925,-1.975016176532108,2.753542117174101,-2.688365643876435,-3.8886453554441696,18.6,3.4
Antioquia,2022,enero,2022-01-01,Antioquia_2022_enero,-4.8533647654729375,-0.6230033920842117,0.8048381472979906,1.4471607523535193,0.1977164246012981,-2.332995110260989,-0.0113465144213936,20.9,3.3
Arauca,2022,enero,2022-01-01,Arauca_2022_enero,4.014155437411859,1.4580934838287196,1.302036218105502,0.4162256748324142,-0.2574164334706022,-0.9483595422369656,-1.9295834278940576,39.3,11.0
Atlantico,2022,enero,2022-01-01,Atlantico_2022_enero,0.6061197735319258,5.561743433058668,3.9257414182881223,1.6822587323891676,0.8776769564013004,-2.5426107963573266,-1.31574547902224,46.1,8.3
Bogotá,2022,enero,2022-01-01,Bogotá_2022_enero,-6.6605782454046905,2.0733900042895224,0.8437346641931558,6.779126426719544,1.789132688799755,-0.2369135409109852,-1.429226951232052,25.4,4.2
Bolivar,2022,enero,2022-01-01,Bolivar_2022_enero,1.7350238747245486,0.7931561323670363,2.6593756347881468,-1.6708911628091443,-0.444519180512738,-2.88680474815793,-0.2793758408626143,32.6,5.1
Boyaca,2022,enero,2022-01-01,Boyaca_2022_enero,-2.2464521240845023,0.4610046255300443,-3.880895953503123,2.8470935260657506,-0.4691815686255979,-0.4671245698596158,-0.2723856410880774,20.7,2.1
Caldas,2022,enero,2022-01-01,Caldas_2022_enero,-6.660403352535495,-2.304953960270621,0.7476061691011231,1.0872297269622055,0.2950914772849539,-1.670659827127791,0.8171204613272247,14.6,2.5
Caqueta,2022,enero,2022-01-01,Caqueta_2022_enero,0.7512122966126948,-0.1998602684032465,-1.3208626881743468,-0.7785126877933325,-1.019541086695884,-0.4010293482209973,-1.5980407079999308,27.2,3.2
Casanare,2022,enero,2022-01-01,Casanare_2022_enero,-0.7321055093196481,1.3413153330924683,-0.6170995027838825,1.4920387442854126,-0.5626098184300716,-1.9358624449725224,-2.536492268325534,28.2,4.3
Cauca,2022,enero,2022-01-01,Cauca_2022_enero,1.8968062436874136,0.0762763977908587,-5.04806437651396,1.1658396826402926,-0.8215620973602252,0.2002647081799137,-0.1301080941088857,22.3,2.8
Cesar,2022,enero,2022-01-01,Cesar_2022_enero,3.818177205376746,4.142705230485981,1.7954806181668943,1.6545285440923327,-0.6958941340716959,-2.297231515859867,-1.69634754974163,41.1,9.4
