departamento,año,mes,fecha,clave,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Amazonas,2022,enero,2022-01-01,Amazonas_2022_enero,1.4042943283934994,-7.025969044391802,0.8316976094571925,-1.9750161765321081,2.753542117174101,-2.688365643876435,-3.8886453554441704
Antioquia,2022,enero,2022-01-01,Antioquia_2022_enero,-4.8533647654729375,-0.6230033920842117,0.8048381472979906,1.4471607523535193,0.19771642460129815,-2.332995110260989,-0.011346514421393679
Arauca,2022,enero,2022-01-01,Arauca_2022_enero,4.014155437411859,1.4580934838287196,1.3020362181055019,0.41622567483241424,-0.2574164334706022,-0.9483595422369656,-1.9295834278940578
Atlantico,2022,enero,2022-01-01,Atlantico_2022_enero,0.6061197735319258,5.561743433058668,3.9257414182881227,1.6822587323891676,0.8776769564013004,-2.5426107963573266,-1.31574547902224
Bogotá,2022,enero,2022-01-01,Bogotá_2022_enero,-6.6605782454046905,2.0733900042895224,0.8437346641931558,6.779126426719544,1.789132688799755,-0.23691354091098527,-1.429226951232052
Bolivar,2022,enero,2022-01-01,Bolivar_2022_enero,1.7350238747245486,0.7931561323670363,2.6593756347881468,-1.6708911628091445,-0.444519180512738,-2.88680474815793,-0.2793758408626143
Boyaca,2022,enero,2022-01-01,Boyaca_2022_enero,-2.2464521240845023,0.4610046255300443,-3.880895953503123,2.8470935260657506,-0.4691815686255979,-0.46712456985961587,-0.27238564108807745
Caldas,2022,enero,2022-01-01,Caldas_2022_enero,-6.660403352535495,-2.3049539602706215,0.7476061691011231,1.0872297269622055,0.29509147728495394,-1.670659827127791,0.8171204613272247
Caqueta,2022,enero,2022-01-01,Caqueta_2022_enero,0.7512122966126948,-0.19986026840324653,-1.3208626881743468,-0.7785126877933325,-1.019541086695884,-0.4010293482209973,-1.5980407079999308
Casanare,2022,enero,2022-01-01,Casanare_2022_enero,-0.7321055093196481,1.3413153330924685,-0.6170995027838825,1.4920387442854126,-0.5626098184300716,-1.9358624449725224,-2.536492268325534
Cauca,2022,enero,2022-01-01,Cauca_2022_enero,1.8968062436874138,0.0762763977908587,-5.04806437651396,1.1658396826402926,-0.8215620973602252,0.20026470817991376,-0.13010809410888574
Cesar,2022,enero,2022-01-01,Cesar_2022_enero,3.8181772053767467,4.142705230485981,1.7954806181668945,1.6545285440923327,-0.6958941340716959,-2.297231515859867,-1.69634754974163
Choco,2022,enero,2022-01-01,Choco_2022_enero,9.097701399934248,3.1115942574970945,-2.4649209193091095,1.7380861263933818,1.0152638806398993,-3.1254052825574057,0.5545218634748068
Cundinamarca,2022,enero,2022-01-01,Cundinamarca_2022_enero,-1.9738637523868934,3.562753937850512,0.4822948188539045,5.194979396410343,1.7467058759971754,0.16651244961304265,-0.24358883740360018
Cordoba,2022,enero,2022-01-01,Cordoba_2022_enero,3.786879953275278,0.37237356828966656,-2.1689575596363215,-1.1492223168997495,-1.7880198200331705,-2.92228245917888,-0.07146640459719684
Guainia,2022,enero,2022-01-01,Guainia_2022_enero,6.010910375695171,-5.6650797706834775,-0.05551940558237658,1.8895946618860697,1.6152382213686345,-1.149365653325444,-2.490427648102916
Guaviare,2022,enero,2022-01-01,Guaviare_2022_enero,6.863617583008258,4.4221457788832925,2.257821892540456,2.24711192464992,3.444415647334334,2.6631630503150983,-0.928454793109289
Huila,2022,enero,2022-01-01,Huila_2022_enero,0.31047991153556753,2.001007541579254,-1.0899387156871359,0.4113076562422657,0.0027918067966603674,-0.5897942113202804,0.11848376790133956
Guajira,2022,enero,2022-01-01,Guajira_2022_enero,7.275153507730402,-1.4817987294498896,-0.2964055942552107,1.9701189432934256,-3.445701966465158,-2.826752012492597,-3.5064678961519764
Magdalena,2022,enero,2022-01-01,Magdalena_2022_enero,5.091334866511719,3.843079653975854,2.134775164256426,0.26751972959225717,-0.9990465533156089,-2.4257605430050653,-1.1789892115777345
Meta,2022,enero,2022-01-01,Meta_2022_enero,-1.9359567790006356,0.246561116831393,0.2635627091396492,1.2809605495548217,-0.0830372324485404,-1.222626421292129,-2.338637458222059
Narino,2022,enero,2022-01-01,Narino_2022_enero,5.206823482500178,4.462529798044141,-4.747299122760232,2.5430761955260888,0.519826922173194,0.34209568256613876,-0.2967365298371414
Norte De Santander,2022,enero,2022-01-01,Norte De Santander_2022_enero,-1.9627716004918245,-0.47041778894031683,0.4333125401393385,0.6767256170371801,-1.434617876597788,0.011586266592003859,-1.5849847133320958
Putumayo,2022,enero,2022-01-01,Putumayo_2022_enero,3.118120011628993,0.002019169198787879,-4.784344375764602,1.7498104816614677,-0.243575981873095,0.867851688047854,-2.6494642554859893
Quindio,2022,enero,2022-01-01,Quindio_2022_enero,-5.811228035149891,-1.2230748708842165,-0.25224007001116305,1.64129391935553,-0.3384124220284973,-1.3131878132610222,-0.2682326752482803
Risaralda,2022,enero,2022-01-01,Risaralda_2022_enero,-6.438292680120485,-1.752123084321866,1.0636878998035286,1.1670650031141094,0.3662883672272325,-0.8184066323136421,0.06772549443117018
Santander,2022,enero,2022-01-01,Santander_2022_enero,-3.528447157014697,-0.23928086401430979,-0.2055174852596802,1.25057108032998,-0.5013240422180988,-1.5323529520027994,-0.5236761378618575
Sucre,2022,enero,2022-01-01,Sucre_2022_enero,6.578488197924724,5.280274352536074,2.396462579740706,-1.4012634328654816,0.22324637475800313,-1.4256973727823032,-0.39015486437727337
Tolima,2022,enero,2022-01-01,Tolima_2022_enero,-1.8822451262652269,1.130606811672807,-1.3955617817532129,1.451542388659988,-0.39147857612220355,-1.3195718950446746,0.18534504570619725
Valle Del Cauca,2022,enero,2022-01-01,Valle Del Cauca_2022_enero,-3.729736385783125,1.509076542796229,0.43181190880663506,3.466181633670262,0.4347235712627275,-1.1239466442859163,-0.6919096160936685
Vaupes,2022,enero,2022-01-01,Vaupes_2022_enero,8.627420025230963,-2.6043734874107547,-2.495557435523347,2.759204033987739,5.614252351769887,-3.107544305548094,1.9072587273076962
Vichada,2022,enero,2022-01-01,Vichada_2022_enero,11.476042578826405,-7.575716892042327,1.48303290065344,4.765751799165874,-3.3081159695925884,-2.9833274909557854,1.0630427925635129
Amazonas,2022,febrero,2022-02-01,Amazonas_2022_febrero,1.5176022864641168,-7.143652725112567,0.7060382103299857,-1.9220852949666194,2.882676282322346,-2.559823434417003,-4.086355717157831
Antioquia,2022,febrero,2022-02-01,Antioquia_2022_febrero,-4.7734121862397325,-0.7431523781598253,0.6674469038530054,1.4668531661775348,0.40618960811274657,-2.4686515992040077,-0.1790689597923456
Arauca,2022,febrero,2022-02-01,Arauca_2022_febrero,4.235468513290195,1.6823319942638042,1.5009751347217886,0.4124159583438686,-0.20550045414512882,-0.831877214691968,-2.26437545429521
Atlantico,2022,febrero,2022-02-01,Atlantico_2022_febrero,0.6428921982238265,5.494636056771555,3.94426977359152,1.6080939657753468,0.7844545781097882,-2.624521053246782,-1.8026568593822982
Bogotá,2022,febrero,2022-02-01,Bogotá_2022_febrero,-6.672091782587617,1.7265085024760465,0.6848575012275535,6.867489685433989,1.6551915290129986,-0.30050115985561654,-1.9307366836102413
Bolivar,2022,febrero,2022-02-01,Bolivar_2022_febrero,1.6002687916578886,0.2705068819615023,2.494192457418811,-1.6760309158367837,-0.7421368880931856,-2.909293428817474,-0.4692148120667365
