"departamento","año","mes","fecha","Analfabetismo","Bajo_logro_educativo","Barreras_acceso_salud","Desempleo_larga_duracion","Inasistencia_escolar","Rezago_escolar","Sin_aseguramiento_salud","Trabajo_informal","IPM_Total","Vida_general","Salud","Seguridad","Trabajo_actividad","Tiempo_libre","Ingreso","Propia_totalmente_pagada","Propia_la_estan_pagando","En_arriendo_o_subarriendo","Con_permiso_sin_pago","Posesion_sin_titulo","Propiedad_colectiva","Deficit_cuantitativo","Deficit_cualitativo","Deficit_habitacional","No_alcanzan_gastos_minimos","Alcanzan_gastos_minimos","Cubren_mas_gastos_minimos","Pobreza_monetaria","No_pobres","Energia","Gas_natural","Acueducto","Alcantarillado","Recoleccion_basura","Telefono_fijo","Ningun_servicio","precipitacion_promedio","temperatura_promedio","ndvi_promedio","IPC_Total","FIES_preocupacion_alimentos","FIES_no_alimentos_saludables","FIES_poca_variedad_alimentos","FIES_saltar_comida","FIES_comio_menos","FIES_sin_alimentos","FIES_hambre_sin_comer","FIES_no_comio_dia_entero","FIES_moderado_grave","FIES_grave","clave"
"Amazonas",2022,"enero","2022-01-01",8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6,27.9,8.5,8.3,7.7,7.9,8.2,7.5,20.1,0.3,20.3,7.6,7.9,43.7,61.3,23.3,84.5,43.9,52.2,3.9,54.6,45.4,83.2,0,43.3,42.3,53.3,0.4,13.6,6.35814017706159,26.3350829629616,0.489207113531166,131.19,24.0180701002493,16.4699872459976,21.7383607583884,22.0974678636731,18.2320228232702,11.9118279844555,13.1155010777172,5.19065789884398,18.6,3.4,"Amazonas_2022_enero"
"Antioquia",2022,"enero","2022-01-01",7,39.9,0.4,14,1.5,22.9,6.3,66,10.7,8.2,7.9,8,7.4,7.6,7.1,37.7,3.4,45.3,10,1.4,2.2,4.8,19.8,24.7,34.4,54.6,11,48.7,51.3,99.9,64.5,93.1,80.9,91.6,24.2,0,1.93472093517964,21.6825691025302,0.674771075455323,133.56,31.0285595704923,26.955414801392,30.5174189091972,19.6326180236653,21.0027801148653,10.9277707798289,11.466793593719,3.03614292099989,20.9,3.3,"Antioquia_2022_enero"
"Arauca",2022,"enero","2022-01-01",7.6,60.4,0.2,13.7,3.9,24.3,15.4,93.4,22.6,8,7.9,7.4,7,7.4,6.8,34.3,0.8,32.2,20.4,11.5,0.8,30.3,22.6,52.9,48,49.6,2.4,74.5,25.5,99.5,12.6,73,54.9,64.4,1.4,0.4,0.143900544184424,27.7987272577082,0.601041994008094,131.19,45.3209324735985,38.8186836071376,46.0007044209893,40.6561815740621,38.0878120299001,26.9808114866175,24.8816336057189,5.9297626274569,39.3,11,"Arauca_2022_enero"
"Atlantico",2022,"enero","2022-01-01",7,28.1,1.5,11.2,1.8,30.2,9.1,75.9,10.2,8,8.1,7.1,6.9,7.5,6.6,45.7,2.3,31.4,16.4,3.9,0.3,3.5,28,31.5,52.9,40.6,6.5,56.9,43.1,99.9,93.1,97.7,87,96,26.4,0.1,0.0318962769947364,28.6665143689179,0.597336815327481,131.02,55.1630310888315,48.790394631293,56.3433497785655,45.6265544854043,44.5773257135885,24.4554623054209,24.9919515861308,4.19873965769878,46.1,8.3,"Atlantico_2022_enero"
"Bogotá",2022,"enero","2022-01-01",1.8,21.7,4.3,12.1,1.3,18.8,13.1,54.2,3.8,7.8,7.7,6.4,6.8,7.1,6.6,31.2,7.5,52.7,6.7,1,1,1.4,9.8,11.2,28.5,56.8,14.7,32.3,67.7,100,93.5,99.6,99.1,99.6,41.1,0,1.87090405105151,18.2878790807159,0.642120161035712,133.78,31.1817577577583,33.6356200166701,37.2279654757188,23.8313150591941,26.0375720687522,14.6614620316439,13.5234436814724,2.38781486888154,25.4,4.2,"Bogotá_2022_enero"
"Bolivar",2022,"enero","2022-01-01",12.4,45.8,0.3,12.1,3,28.9,5.5,83.7,19.4,8.3,8.2,7.7,7.6,7.8,7.2,35.6,1.2,25.7,16.3,15,6.3,14.3,44.8,59.1,61.7,32.9,5.4,66.9,33.1,98.5,67.2,86.1,50.8,75.7,8.8,1,0.81781698581482,26.9934727254279,0.671381652244048,130.79,45.606240861578,33.9573958057547,43.088224846213,34.4832599472283,32.9311502778694,18.9663378272717,18.0479399371321,3.27746317617277,32.6,5.1,"Bolivar_2022_enero"
"Boyaca",2022,"enero","2022-01-01",6.3,48.3,2,16,2,23,5.2,77.5,9.6,7.5,7.2,7.3,6.7,6.8,6,36.8,4.1,38.4,15.6,2.6,2.5,2.8,21.2,24,36.8,59.3,3.9,43.4,56.6,99.4,63.3,89.5,65.6,67.1,2.3,0.3,1.03589448771855,16.5269844130813,0.656574601857588,133.59,26.1711229959776,28.1164040717748,28.9301376074068,21.6570933652853,20.7688487615023,9.77718650983221,12.057057309705,3.07521213650846,20.7,2.1,"Boyaca_2022_enero"
"Caldas",2022,"enero","2022-01-01",7.4,45.8,1.5,18.2,1.3,20.7,6.3,68.4,10.5,8.4,8.1,8.3,7.9,7.9,7.3,34.9,6.5,40.7,15.3,1.6,1,2.9,18.6,21.4,32.2,56.2,11.6,33.4,66.6,99.8,70.6,92.1,83.6,86.6,20.4,0.1,5.36616040227988,18.2397889011021,0.667547176393854,135.02,21.5738712167282,21.7920902160893,20.5605087399749,17.2111577470179,14.7229844242894,8.45417135278594,10.9599714005603,2.68099091156222,14.6,2.5,"Caldas_2022_enero"
"Caqueta",2022,"enero","2022-01-01",11.1,58,1.7,11.4,4.7,30.6,6.3,89.2,19.6,8.1,7.8,7.5,7.1,7.1,6.5,28.5,1.9,37.2,24.7,7.2,0.4,24.3,22.9,47.2,39.7,57.2,3.1,69.1,30.9,97.4,46.4,80.6,64.1,74.9,2.4,2.2,4.32164820438497,26.3506697060071,0.675004592029325,140.61,38.4014250280823,29.6351743771217,37.0743213268588,26.2057473923002,26.4349990929236,12.5268605219415,12.5824086188963,3.53804703853797,27.2,3.2,"Caqueta_2022_enero"
"Casanare",2022,"enero","2022-01-01",5.5,45.8,1.1,11.9,3.3,26.8,8.7,80,13.3,8.2,7.6,7.1,6.9,6.9,6.3,37.9,2.1,42.1,14.3,3.1,0.7,7.2,24.2,31.4,47.3,48.8,3.9,46.5,53.5,97.2,83.8,82.2,70.8,78.5,1.5,1.7,0.285125609304569,28.4407154721098,0.542926603318238,131.19,33.5747954686943,33.9098246038369,36.3190565229546,28.4699442702951,26.7802235909579,14.319172176012,14.8249808151325,1.74692666463351,28.2,4.3,"Casanare_2022_enero"
