departamento,fecha,temperatura_media
Amazonas,2024-01-01,26.994045928814128
Antioquia,2024-01-01,22.616587671767693
Arauca,2024-01-01,28.88185108426472
Atlantico,2024-01-01,29.029486301486667
Bolivar,2024-01-01,27.36511541876774
Boyaca,2024-01-01,17.329869656852775
Caldas,2024-01-01,19.5926524946342
Caqueta,2024-01-01,25.92857686483953
Casanare,2024-01-01,28.361779441648302
Cauca,2024-01-01,18.75317175555337
Cesar,2024-01-01,26.99423004875544
Choco,2024-01-01,25.7063017162124
Cordoba,2024-01-01,28.04375954899092
Cundinamarca,2024-01-01,18.871672648827712
Guainia,2024-01-01,27.8503299103208
Guajira,2024-01-01,26.52865537252848
Guaviare,2024-01-01,26.937587491511973
Huila,2024-01-01,20.00696191654101
Magdalena,2024-01-01,28.372306600589265
Meta,2024-01-01,26.984222533288506
Narino,2024-01-01,19.199725669837147
Norte De Santander,2024-01-01,20.95261689691744
Putumayo,2024-01-01,24.889844715392968
Quindio,2024-01-01,18.36288659517623
Risaralda,2024-01-01,19.22423793964422
Santander,2024-01-01,22.563943284304624
Sucre,2024-01-01,28.444216190245147
Tolima,2024-01-01,21.563373869370373
Valle Del Cauca,2024-01-01,19.51261725773796
Vaupes,2024-01-01,26.996010725105315
Vichada,2024-01-01,28.42282832909073
Amazonas,2024-01-02,27.098511519018952
Antioquia,2024-01-02,23.03293030673405
Arauca,2024-01-02,28.774846462198727
Atlantico,2024-01-02,29.08823215283752
Bolivar,2024-01-02,27.582160201986945
Boyaca,2024-01-02,17.930714239116565
Caldas,2024-01-02,20.02058632014407
Caqueta,2024-01-02,26.03629580520457
Casanare,2024-01-02,28.39918696528661
Cauca,2024-01-02,18.884112270351373
Cesar,2024-01-02,27.237765515433395
Choco,2024-01-02,25.722775877524167
Cordoba,2024-01-02,28.305855190445275
Cundinamarca,2024-01-02,19.22095960822832
Guainia,2024-01-02,27.66345258970666
Guajira,2024-01-02,26.969561988469703
Guaviare,2024-01-02,26.56368279862195
Huila,2024-01-02,20.36184519792956
Magdalena,2024-01-02,28.67739202310494
Meta,2024-01-02,26.68785649310489
Narino,2024-01-02,19.57962189216436
Norte De Santander,2024-01-02,21.207205120447256
Putumayo,2024-01-02,25.46729617482194
Quindio,2024-01-02,18.21368613572994
Risaralda,2024-01-02,19.23009968911824
Santander,2024-01-02,22.48319179315686
Sucre,2024-01-02,28.79916943765966
Tolima,2024-01-02,21.557279186415933
Valle Del Cauca,2024-01-02,19.46579041718287
Vaupes,2024-01-02,26.707586979839974
Vichada,2024-01-02,28.63992941488993
Amazonas,2024-01-03,26.882987343816744
Antioquia,2024-01-03,23.07169840463069
Arauca,2024-01-03,28.7422038634822
Atlantico,2024-01-03,29.42410502294033
Bolivar,2024-01-03,27.723885084906783
Boyaca,2024-01-03,17.917599667093207
Caldas,2024-01-03,20.374621117292044
Caqueta,2024-01-03,25.95454803748396
Casanare,2024-01-03,28.1379739396672
Cauca,2024-01-03,19.225089033066062
Cesar,2024-01-03,27.329555414107087
Choco,2024-01-03,26.09795141861831
Cordoba,2024-01-03,28.44344919537773
Cundinamarca,2024-01-03,19.4220320175741
Guainia,2024-01-03,27.83086571850877
Guajira,2024-01-03,27.26694821627113
Guaviare,2024-01-03,26.60299944129776
Huila,2024-01-03,20.347584146116315
Magdalena,2024-01-03,28.87565635176364
Meta,2024-01-03,26.57702653048044
Narino,2024-01-03,19.57051545296596
Norte De Santander,2024-01-03,20.993123003372936
Putumayo,2024-01-03,25.45008639880681
Quindio,2024-01-03,18.480814214422548
Risaralda,2024-01-03,19.743858920397845
Santander,2024-01-03,22.36594082634543
Sucre,2024-01-03,28.97421350717886
Tolima,2024-01-03,21.76957403998001
Valle Del Cauca,2024-01-03,19.797950457503
Vaupes,2024-01-03,26.824006698752044
Vichada,2024-01-03,28.46632396308173
Amazonas,2024-01-04,27.52394737346976
Antioquia,2024-01-04,22.80494921757624
Arauca,2024-01-04,29.057853030513787
Atlantico,2024-01-04,29.747165620034465
Bolivar,2024-01-04,27.69273180976884
Boyaca,2024-01-04,17.381432758270236
Caldas,2024-01-04,19.287948674912545
Caqueta,2024-01-04,26.10396329025479
Casanare,2024-01-04,28.474475242995776
Cauca,2024-01-04,18.772139599666247
Cesar,2024-01-04,26.852994062756355
Choco,2024-01-04,26.260190598326123
Cordoba,2024-01-04,28.47590382137068
Cundinamarca,2024-01-04,19.09990715449871
Guainia,2024-01-04,27.83586664541261
Guajira,2024-01-04,27.298183604192243
Guaviare,2024-01-04,26.686361944378223
Huila,2024-01-04,20.249364247269032
Magdalena,2024-01-04,28.80014758047216
Meta,2024-01-04,26.611681503040515
Narino,2024-01-04,19.453653725936736
Norte De Santander,2024-01-04,20.6963198321232
Putumayo,2024-01-04,25.56499728268849
Quindio,2024-01-04,18.22025139366809
Risaralda,2024-01-04,19.27495036107202
Santander,2024-01-04,21.76550498010284
Sucre,2024-01-04,28.79917092615758
Tolima,2024-01-04,21.597074414649484
Valle Del Cauca,2024-01-04,19.40375246628601
Vaupes,2024-01-04,27.055456084353512
Vichada,2024-01-04,28.595826613243
Amazonas,2024-01-05,26.552808385886227
Antioquia,2024-01-05,22.443880521598512
Arauca,2024-01-05,28.844510893559928
Atlantico,2024-01-05,29.69862199164812
Bolivar,2024-01-05,27.45611055906234
Boyaca,2024-01-05,16.959655272239925
Caldas,2024-01-05,18.90515424276528
Caqueta,2024-01-05,25.97055984793276
Casanare,2024-01-05,28.14415443056409
Cauca,2024-01-05,18.745663871369413
Cesar,2024-01-05,27.04722914845655
Choco,2024-01-05,25.994626659396967
Cordoba,2024-01-05,28.482673608103127
Cundinamarca,2024-01-05,18.66730707141095
Guainia,2024-01-05,27.825657579424053
Guajira,2024-01-05,27.36463598609677
Guaviare,2024-01-05,26.48928674415605
Huila,2024-01-05,19.865583379322672
Magdalena,2024-01-05,29.036892757228408
Meta,2024-01-05,26.30194910598276
Narino,2024-01-05,20.109820747802345
Norte De Santander,2024-01-05,20.57036194868406
Putumayo,2024-01-05,25.723700149056576
Quindio,2024-01-05,18.079632903444967
Risaralda,2024-01-05,18.916898681503813
Santander,2024-01-05,21.422559766899408
Sucre,2024-01-05,28.797418996584952
Tolima,2024-01-05,21.184755591428114
Valle Del Cauca,2024-01-05,19.2017349216852
Vaupes,2024-01-05,26.77847423215333
Vichada,2024-01-05,28.097367985412056
Amazonas,2024-01-06,27.04595068743888
Antioquia,2024-01-06,22.57185804349888
Arauca,2024-01-06,28.61771308347844
Atlantico,2024-01-06,29.79772620793041
Bolivar,2024-01-06,27.577104939358417
Boyaca,2024-01-06,17.43657331250228
Caldas,2024-01-06,19.028915184263955
Caqueta,2024-01-06,25.932198859659632
Casanare,2024-01-06,28.45503169673825
Cauca,2024-01-06,18.905743215804826
Cesar,2024-01-06,26.96308800255252
Choco,2024-01-06,26.388151003541907
Cordoba,2024-01-06,28.54676668998169
Cundinamarca,2024-01-06,18.85120810961809
Guainia,2024-01-06,28.40587552295699
Guajira,2024-01-06,26.983494393194047
Guaviare,2024-01-06,26.81654478448702
Huila,2024-01-06,20.057269839804245
Magdalena,2024-01-06,29.03952074640153
Meta,2024-01-06,26.6931732953444
Narino,2024-01-06,20.661360357332867
Norte De Santander,2024-01-06,20.52229788904766
Putumayo,2024-01-06,25.343317518731624
Quindio,2024-01-06,18.31844796714546
Risaralda,2024-01-06,19.30421333719049
Santander,2024-01-06,21.717164952957024
Sucre,2024-01-06,28.89740901215947
Tolima,2024-01-06,21.50039347713697
Valle Del Cauca,2024-01-06,19.25042817945707
Vaupes,2024-01-06,26.9005499711416
Vichada,2024-01-06,28.952890806635764
Amazonas,2024-01-07,27.72304670990244
Antioquia,2024-01-07,22.95683260816547
Arauca,2024-01-07,29.4837772731524
Atlantico,2024-01-07,29.71256291096569
Bolivar,2024-01-07,27.67669691208521
Boyaca,2024-01-07,17.11808305690636
Caldas,2024-01-07,19.137341157132564
Caqueta,2024-01-07,26.10623792810001
Casanare,2024-01-07,29.319752014930604
Cauca,2024-01-07,18.73567335940717
Cesar,2024-01-07,27.001218101901056
Choco,2024-01-07,26.55039917777099
Cordoba,2024-01-07,29.04891703327049
Cundinamarca,2024-01-07,18.49854299762756
Guainia,2024-01-07,28.13261180714602
Guajira,2024-01-07,27.368329492964897
Guaviare,2024-01-07,27.079064098361386
Huila,2024-01-07,19.41426934058825
Magdalena,2024-01-07,29.006005951416576
Meta,2024-01-07,27.177669343377765
Narino,2024-01-07,19.82834602038132
Norte De Santander,2024-01-07,20.760832293373337
Putumayo,2024-01-07,25.185695155469386
Quindio,2024-01-07,18.90760470376327
Risaralda,2024-01-07,19.552336831620824
Santander,2024-01-07,22.3096535544873
Sucre,2024-01-07,29.102376281703823
Tolima,2024-01-07,22.013346181347487
Valle Del Cauca,2024-01-07,19.305718873836472
Vaupes,2024-01-07,27.053678683813043
Vichada,2024-01-07,29.618405435955708
Amazonas,2024-01-08,26.47915006095339
Antioquia,2024-01-08,23.16795063534301
Arauca,2024-01-08,28.935403713187817
Atlantico,2024-01-08,29.971867410870217
Bolivar,2024-01-08,28.03294312940812
