Departamento,Año,Mes,leve_moderado,grave,moderada,inseguridad_alimentaria
Amazonas,2022,1,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,2,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,3,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,4,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,5,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,6,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,7,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,8,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,9,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,10,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,11,18.6,3.4,15.200000000000001,moderado
Amazonas,2022,12,18.6,3.4,15.200000000000001,moderado
Antioquia,2022,1,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,2,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,3,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,4,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,5,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,6,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,7,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,8,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,9,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,10,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,11,20.9,3.3,17.599999999999998,moderado
Antioquia,2022,12,20.9,3.3,17.599999999999998,moderado
Arauca,2022,1,39.3,11.0,28.299999999999997,severo
Arauca,2022,2,39.3,11.0,28.299999999999997,severo
Arauca,2022,3,39.3,11.0,28.299999999999997,severo
Arauca,2022,4,39.3,11.0,28.299999999999997,severo
Arauca,2022,5,39.3,11.0,28.299999999999997,severo
Arauca,2022,6,39.3,11.0,28.299999999999997,severo
Arauca,2022,7,39.3,11.0,28.299999999999997,severo
Arauca,2022,8,39.3,11.0,28.299999999999997,severo
Arauca,2022,9,39.3,11.0,28.299999999999997,severo
Arauca,2022,10,39.3,11.0,28.299999999999997,severo
Arauca,2022,11,39.3,11.0,28.299999999999997,severo
Arauca,2022,12,39.3,11.0,28.299999999999997,severo
Atlántico,2022,1,46.1,8.3,37.8,severo
Atlántico,2022,2,46.1,8.3,37.8,severo
Atlántico,2022,3,46.1,8.3,37.8,severo
Atlántico,2022,4,46.1,8.3,37.8,severo
Atlántico,2022,5,46.1,8.3,37.8,severo
Atlántico,2022,6,46.1,8.3,37.8,severo
Atlántico,2022,7,46.1,8.3,37.8,severo
Atlántico,2022,8,46.1,8.3,37.8,severo
Atlántico,2022,9,46.1,8.3,37.8,severo
Atlántico,2022,10,46.1,8.3,37.8,severo
Atlántico,2022,11,46.1,8.3,37.8,severo
Atlántico,2022,12,46.1,8.3,37.8,severo
Bogotá D.C.,2022,1,25.4,4.2,21.2,moderado
Bogotá D.C.,2022,2,25.4,4.2,21.2,moderado
Bogotá D.C.,2022,3,25.4,4.2,21.2,moderado
Bogotá D.C.,2022,4,25.4,4.2,21.2,moderado
Bogotá D.C.,2022,5,25.4,4.2,21.2,moderado
Bogotá D.C.,2022,6,25.4,4.2,21.2,moderado
Bogotá D.C.,2022,7,25.4,4.2,21.2,moderado
Bogotá D.C.,2022,8,25.4,4.2,21.2,moderado
Bogotá D.C.,2022,9,25.4,4.2,21.2,moderado
Bogotá D.C.,2022,10,25.4,4.2,21.2,moderado
Bogotá D.C.,2022,11,25.4,4.2,21.2,moderado
