departamento,año,mes,fecha,No_alcanzan_gastos_minimos,Alcanzan_gastos_minimos,Cubren_mas_gastos_minimos
Amazonas,2022,1,2022-01-01,43.9,52.2,3.9
Antioquia,2022,1,2022-01-01,34.4,54.6,11.0
Arauca,2022,1,2022-01-01,48.0,49.6,2.4
Atlantico,2022,1,2022-01-01,52.9,40.6,6.5
Bogota_DC,2022,1,2022-01-01,28.5,56.8,14.7
Bolivar,2022,1,2022-01-01,61.7,32.9,5.4
Boyaca,2022,1,2022-01-01,36.8,59.3,3.9
Caldas,2022,1,2022-01-01,32.2,56.2,11.6
Caqueta,2022,1,2022-01-01,39.7,57.2,3.1
Casanare,2022,1,2022-01-01,47.3,48.8,3.9
Cauca,2022,1,2022-01-01,50.6,46.4,3.0
Cesar,2022,1,2022-01-01,65.4,31.5,3.1
Choco,2022,1,2022-01-01,68.3,29.4,2.2
Cordoba,2022,1,2022-01-01,66.2,31.5,2.2
Cundinamarca,2022,1,2022-01-01,47.1,48.6,4.3
Guainia,2022,1,2022-01-01,46.0,49.6,4.4
Guaviare,2022,1,2022-01-01,58.3,39.9,1.8
Huila,2022,1,2022-01-01,52.6,44.2,3.2
La_Guajira,2022,1,2022-01-01,71.1,27.4,1.5
Magdalena,2022,1,2022-01-01,54.0,43.7,2.3
Meta,2022,1,2022-01-01,46.8,48.9,4.2
Narino,2022,1,2022-01-01,63.6,32.7,3.7
Norte_de_Santander,2022,1,2022-01-01,41.0,54.4,4.6
Putumayo,2022,1,2022-01-01,43.6,54.0,2.4
Quindio,2022,1,2022-01-01,35.6,59.3,5.1
Risaralda,2022,1,2022-01-01,33.5,56.4,10.1
Santander,2022,1,2022-01-01,43.1,51.0,6.0
Sucre,2022,1,2022-01-01,72.0,24.3,3.7
Tolima,2022,1,2022-01-01,42.4,52.4,5.2
Valle,2022,1,2022-01-01,42.7,50.0,7.3
Vaupes,2022,1,2022-01-01,63.8,34.9,1.3
Vichada,2022,1,2022-01-01,51.1,46.9,2.0
Amazonas,2022,2,2022-02-01,43.9,52.2,3.9
Antioquia,2022,2,2022-02-01,34.4,54.6,11.0
Arauca,2022,2,2022-02-01,48.0,49.6,2.4
Atlantico,2022,2,2022-02-01,52.9,40.6,6.5
Bogota_DC,2022,2,2022-02-01,28.5,56.8,14.7
Bolivar,2022,2,2022-02-01,61.7,32.9,5.4
Boyaca,2022,2,2022-02-01,36.8,59.3,3.9
Caldas,2022,2,2022-02-01,32.2,56.2,11.6
Caqueta,2022,2,2022-02-01,39.7,57.2,3.1
Casanare,2022,2,2022-02-01,47.3,48.8,3.9
