departamento,año,mes,fecha,Preocupacion_alimentos,No_alimentos_saludables,Poca_variedad_alimentos,Saltar_comida,Comio_menos,Sin_alimentos,Hambre_no_comio,No_comio_dia_entero
Amazonas,2023,1,2023-01-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,2,2023-02-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,3,2023-03-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,4,2023-04-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,5,2023-05-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,6,2023-06-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,7,2023-07-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,8,2023-08-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,9,2023-09-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,10,2023-10-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,11,2023-11-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Amazonas,2023,12,2023-12-01,31.2,24.2,26.1,16.6,21.6,12.1,14.3,8.9
Antioquia,2023,1,2023-01-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,2,2023-02-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,3,2023-03-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,4,2023-04-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,5,2023-05-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,6,2023-06-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,7,2023-07-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,8,2023-08-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,9,2023-09-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,10,2023-10-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,11,2023-11-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Antioquia,2023,12,2023-12-01,35.2,30.0,31.8,14.7,23.7,7.8,8.8,7.9
Arauca,2023,1,2023-01-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,2,2023-02-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,3,2023-03-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,4,2023-04-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,5,2023-05-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,6,2023-06-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,7,2023-07-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,8,2023-08-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,9,2023-09-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,10,2023-10-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,11,2023-11-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Arauca,2023,12,2023-12-01,46.4,37.8,36.2,25.8,29.9,16.5,26.0,13.4
Atlántico,2023,1,2023-01-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,2,2023-02-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,3,2023-03-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,4,2023-04-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,5,2023-05-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,6,2023-06-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,7,2023-07-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,8,2023-08-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,9,2023-09-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,10,2023-10-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,11,2023-11-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Atlántico,2023,12,2023-12-01,51.4,38.7,42.1,35.2,35.7,19.7,21.3,5.3
Bogotá,2023,1,2023-01-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,2,2023-02-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,3,2023-03-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,4,2023-04-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,5,2023-05-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,6,2023-06-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,7,2023-07-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,8,2023-08-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,9,2023-09-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,10,2023-10-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,11,2023-11-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
Bogotá,2023,12,2023-12-01,28.4,24.6,29.5,18.5,22.3,10.3,12.0,5.8
