Dominio,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.10,2018.11,2018.12,2018.13,2018.14,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8,2019.9,2019.10,2019.11,2019.12,2019.13,2019.14,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2020.8,2020.9,2020.10,2020.11,2020.12,2020.13,2020.14,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2021.8,2021.9,2021.10,2021.11,2021.12,2021.13,2021.14,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7,2022.8,2022.9,2022.10,2022.11,2022.12,2022.13,2022.14,2023,2023.1,2023.2,2023.3,2023.4,2023.5,2023.6,2023.7,2023.8,2023.9,2023.10,2023.11,2023.12,2023.13,2023.14,2024*,2024*.1,2024*.2,2024*.3,2024*.4,2024*.5,2024*.6,2024*.7,2024*.8,2024*.9,2024*.10
Dominio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura
Dominio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura,Teléfono fijo,Teléfono fijo,Ningún servicio,Ningún servicio,Total hogares,Energía,Energía,Gas natural,Gas natural,Acueducto,Acueducto,Alcantarillado,Alcantarillado,Recolección de basura,Recolección de basura
Dominio,Total hogares,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total hogares,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total hogares,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total hogares,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total hogares,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total hogares,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total hogares,Total,%,Total,%,Total,%,Total,%,Total,%
Total nacional,15.403,15.048,"97,7",9.921,"64,4",13.367,"86,8",11.403,"74,0",12.515,"81,3",4.440,"28,8",294,"1,9",15.999,15.694,"98,1",10.320,"64,5",13.916,"87,0",11.896,"74,4",13.084,"81,8",4.039,"25,2",249,"1,6",16.417,16.126,"98,2",10.795,"65,8",14.671,"89,4",12.329,"75,1",13.558,"82,6",3.906,"23,8",249,"1,5",17.068,16.622,"97,4",11.475,"67,2",14.890,"87,2",12.808,"75,0",14.085,"82,5",3.753,"22,0",400,"2,3",17.526,17.278,"98,6",12.021,"68,6",15.578,"88,9",13.218,"75,4",14.516,"82,8",3.256,"18,6",214,"1,2",18.009,17.776,"98,7",12.551,"69,7",16.210,"90,0",13.693,"76,0",15.018,"83,4",2.882,"16,0",208,"1,2",18.489,18.279,"98,9",13.101,"70,9",16.667,"90,1",14.089,"76,2",15.465,"83,6"
Cabecera,11.742,11.714,"99,8",9.515,"81,0",11.397,"97,1",10.877,"92,6",11.537,"98,2",4.379,"37,3",7,"0,1",12.221,12.200,"99,8",9.856,"80,6",11.876,"97,2",11.338,"92,8",12.037,"98,5",3.970,"32,5",4,"0,0",12.551,12.537,"99,9",10.245,"81,6",12.234,"97,5",11.680,"93,1",12.345,"98,4",3.855,"30,7",4,"0,0",13.160,13.141,"99,9",10.909,"82,9",12.837,"97,5",12.223,"92,9",12.918,"98,2",3.716,"28,2",5,"0,0",13.554,13.536,"99,9",11.431,"84,3",13.251,"97,8",12.630,"93,2",13.333,"98,4",3.223,"23,8",4,"0,0",13.952,13.928,"99,8",11.847,"84,9",13.669,"98,0",13.046,"93,5",13.722,"98,3",2.853,"20,4",13,"0,1",14.343,14.323,"99,9",12.346,"86,1",14.087,"98,2",13.450,"93,8",14.166,"98,8"
Centros poblados y rural disperso,3.660,3.334,"91,1",406,"11,1",1.970,"53,8",527,"14,4",978,"26,7",61,"1,7",287,"7,8",3.778,3.494,"92,5",464,"12,3",2.040,"54,0",558,"14,8",1.047,"27,7",70,"1,8",245,"6,5",3.865,3.590,"92,9",550,"14,2",2.437,"63,1",649,"16,8",1.214,"31,4",51,"1,3",244,"6,3",3.908,3.481,"89,1",566,"14,5",2.053,"52,5",584,"15,0",1.167,"29,9",37,"1,0",395,"10,1",3.972,3.742,"94,2",590,"14,9",2.327,"58,6",588,"14,8",1.183,"29,8",34,"0,8",210,"5,3",4.057,3.848,"94,8",704,"17,4",2.542,"62,6",646,"15,9",1.296,"32,0",29,"0,7",195,"4,8",4.146,3.956,"95,4",755,"18,2",2.580,"62,2",639,"15,4",1.298,"31,3"
Amazonas,22,18,"84,8",0,"0,0",5,"24,7",5,"22,6",9,"41,7",0,"1,1",3,"14,0",22,19,"84,7",0,"0,0",8,"34,2",4,"20,1",11,"50,4",0,"0,7",3,"13,5",25,21,"83,2",0,"0,0",12,"45,7",9,"35,8",14,"54,2",0,"1,3",4,"14,1",21,17,"81,7",0,"0,0",11,"51,7",7,"33,6",11,"53,2",0,"0,1",3,"14,7",22,18,"83,2",0,"0,0",9,"43,3",9,"42,3",12,"53,3",0,"0,4",3,"13,6",27,24,"89,8",0,"0,0",11,"41,7",10,"38,7",15,"57,6",0,"0,5",2,"8,3",27,26,"95,7",0,"0,0",12,"45,3",8,"30,6",14,"52,4"
Antioquia,2.107,2.097,"99,5",1.219,"57,8",1.834,"87,0",1.648,"78,2",1.853,"88,0",914,"43,4",6,"0,3",2.133,2.128,"99,8",1.327,"62,2",1.949,"91,4",1.786,"83,8",1.933,"90,6",863,"40,5",3,"0,1",2.180,2.173,"99,7",1.292,"59,3",2.040,"93,6",1.785,"81,9",1.992,"91,4",664,"30,5",4,"0,2",2.328,2.319,"99,6",1.455,"62,5",2.134,"91,6",1.905,"81,8",2.146,"92,2",628,"27,0",4,"0,2",2.406,2.405,"99,9",1.551,"64,5",2.239,"93,1",1.945,"80,9",2.203,"91,6",583,"24,2",1,"0,0",2.485,2.482,"99,9",1.634,"65,8",2.344,"94,3",2.027,"81,6",2.288,"92,1",533,"21,5",1,"0,1",2.563,2.560,"99,9",1.751,"68,3",2.368,"92,4",2.090,"81,6",2.364,"92,3"
Arauca,92,89,"96,2",5,"5,2",70,"75,7",53,"57,6",65,"69,9",4,"4,0",2,"2,5",103,101,"98,0",5,"5,1",75,"72,8",61,"59,6",72,"69,9",4,"4,0",2,"1,5",108,106,"98,3",7,"6,9",80,"73,9",62,"57,3",74,"68,7",4,"4,0",1,"1,3",109,104,"95,0",11,"10,0",73,"66,5",59,"54,4",71,"65,1",2,"1,5",5,"4,7",113,112,"99,5",14,"12,6",83,"73,0",62,"54,9",73,"64,4",2,"1,4",1,"0,4",114,112,"98,4",28,"24,8",81,"70,9",58,"51,3",76,"66,8",1,"0,6",2,"1,4",125,122,"97,9",28,"22,5",81,"65,2",65,"52,1",84,"67,1"
