año;Departamento;Total;Cabeceras;"Centros poblados 
y rural disperso"
2018;Antioquia;15,3;9,6;35,4
2018;Atlántico;21,1;20;39,5
2018;Bogotá D.C.;4,1;4,1;19,2
2018;Bolívar;31,9;25,6;50,5
2018;Boyacá;16,5;7,9;28,5
2018;Caldas;13,8;10,1;24,6
2018;Caquetá;26,9;20,5;38,6
2018;Cauca;27,7;13,2;36,2
2018;Cesar;31,7;26,5;47,6
2018;Córdoba;34,4;21,1;49,2
2018;Cundinamarca;10,5;6,8;20
2018;Chocó;46,3;29,4;60,3
2018;Huila;18;12,1;27
2018;La Guajira;53,3;31,3;72,9
2018;Magdalena;36,4;31,1;48,5
2018;Meta;15,6;10,7;31,4
2018;Nariño;33,1;22;41,7
2018;Norte de Santander;29,5;25,9;43
2018;Quindío;14,2;13,5;19
2018;Risaralda;11,6;7;28
2018;Santander;12,6;8,2;26,8
2018;Sucre;41,7;32,8;56,8
2018;Tolima;22,2;11,8;44,7
2018;Valle del Cauca;14,1;12,5;23,2
2018;Arauca;27,6;24,6;33,3
2018;Casanare;19;14,5;29,6
2018;Putumayo;24,1;17,5;30,8
2018;San Andrés;8,5;8,5;
2018;Amazonas;35,4;27,4;42,1
2018;Guainía;60,6;44;72,6
2018;Guaviare;31,4;22,8;42,1
2018;Vaupés;68,5;27,4;82,9
2018;Vichada;63,5;33,7;73
2019;Antioquia;15,7;10,2;35,9
2019;Atlántico;14,9;13,7;38
2019;Bogotá D.C.;7,1;7,1;16,5
2019;Bolívar;26,9;21,4;42,9
2019;Boyacá;12,8;5;23,9
2019;Caldas;14,3;10,4;25,8
2019;Caquetá;25,7;19,2;37,7
2019;Cauca;24;10,6;31,8
2019;Cesar;25,5;20,5;40,7
2019;Córdoba;34,7;23,2;47,2
2019;Cundinamarca;12,3;9,4;20,5
2019;Chocó;42,3;26,7;55,1
2019;Huila;18,3;12,5;27,1
2019;La Guajira;48,8;28,1;68,2
2019;Magdalena;31,6;24,6;47,8
2019;Meta;19,1;17,8;23,1
2019;Nariño;23,2;18,4;26,9
2019;Norte de Santander;24,2;19,3;42,8
2019;Quindío;10,2;9,1;18
2019;Risaralda;11,1;6,5;28,2
2019;Santander;12,4;8,8;24,1
2019;Sucre;33,3;25,4;46,6
2019;Tolima;15,2;8,4;30
2019;Valle del Cauca;10,8;9,3;19,4
2019;Arauca;23,3;20,5;28,6
2019;Casanare;18,3;15,1;26,2
2019;Putumayo;25,4;22,1;28,7
2019;San Andrés;8,2;8,2;
2019;Amazonas;35,6;19,5;49,6
2019;Guainía;67;39,9;87,7
2019;Guaviare;30,9;26,5;36,7
2019;Vaupés;66,5;25,4;80,1
2019;Vichada;72,2;35,7;84
2020;Antioquia;14,9;10,2;32,7
2020;Atlántico;14,1;13,1;33,9
2020;Bogotá D.C.;7,5;7,5;15,4
2020;Bolívar;28,1;21,5;47,1
2020;Boyacá;11,7;4,3;22,4
2020;Caldas;14,5;8,7;32,8
2020;Caquetá;26,1;18,4;40,5
2020;Cauca;28,2;12,3;37,4
2020;Cesar;27,2;20,7;46,8
2020;Córdoba;31,8;21,8;42,6
2020;Cundinamarca;11,4;9,4;17,1
2020;Chocó;49;33,5;61,5
2020;Huila;23,4;13,1;39
2020;La Guajira;51,7;30,1;72,7
2020;Magdalena;33,4;27,3;47
2020;Meta;14,1;9,7;28,2
2020;Nariño;27,3;15;36,8
2020;Norte de Santander;26,1;20,8;46,2
2020;Quindío;12,9;11,8;21
2020;Risaralda;13,1;8,9;29,5
2020;Santander;12,5;8,2;26,6
2020;Sucre;38,1;29,5;52,2
2020;Tolima;19;12,1;34
2020;Valle del Cauca;11,1;8,9;24,1
2020;Arauca;26,1;23,4;31,1
2020;Casanare;19,6;14,3;32,8
2020;Putumayo;27,8;22,6;33,2
2020;San Andrés;11,9;11,9;
2020;Amazonas;39;24,3;53,5
2020;Guainía;65,9;43,1;84,5
2020;Guaviare;34,6;27,5;43,8
2020;Vaupés;65,6;26,8;81,3
2020;Vichada;75,6;46,6;85,1
2021;Antioquia;14,3;10,8;28
2021;Atlántico;15,5;14,8;29,6
2021;Bogotá D.C.;5,7;5,7;19,4
2021;Bolívar;26,8;21,5;41,8
2021;Boyacá;10,9;5,4;19,1
2021;Caldas;11,5;8,7;20,4
2021;Caquetá;23,1;15,9;36,6
2021;Cauca;18,6;10,5;23,2
2021;Cesar;25,3;20,8;39,1
2021;Córdoba;26,9;14,1;40,6
2021;Cundinamarca;9,4;8,1;13,3
2021;Chocó;36;25,3;44,4
2021;Huila;17,5;11,8;26,1
2021;La Guajira;48,7;26,3;70,7
2021;Magdalena;32,4;27,2;43,7
2021;Meta;14,9;11,3;26,4
2021;Nariño;22,1;13,4;28,9
2021;Norte de Santander;24,7;19,7;44
2021;Quindío;10,9;10;17,1
2021;Risaralda;10,7;8;21,5
2021;Santander;13,3;9,1;27,3
2021;Sucre;30,3;23,7;41
2021;Tolima;16,6;11;29
2021;Valle del Cauca;8,6;6,9;18,6
2021;Arauca;26,8;25,8;28,7
2021;Casanare;19,5;16,4;27,3
2021;Putumayo;22,8;16,5;29,4
2021;San Andrés;7;7;
2021;Amazonas;25,7;23;28,4
2021;Guainía;57,3;45,7;67,1
2021;Guaviare;31;24,2;40
2021;Vaupés;52,7;22,3;64,8
2021;Vichada;64,8;38,3;73,4
2022;Antioquia;10,7;7;25,8
2022;Atlántico;10,2;9,4;25
2022;Bogotá D.C.;3,8;3,8;10,1
2022;Bolívar;19,4;13,9;34,6
2022;Boyacá;9,6;6,1;15,1
2022;Caldas;10,5;7,8;19,5
2022;Caquetá;19,6;16,4;25,6
2022;Cauca;18,3;8,8;23,6
2022;Cesar;19,1;14,2;34,1
2022;Córdoba;26,9;16,5;38
2022;Cundinamarca;7,3;6,3;10,4
2022;Chocó;36,8;25,2;45,8
2022;Huila;13,3;9;19,7
2022;La Guajira;42,9;20,7;65
2022;Magdalena;23;17,5;34,9
2022;Meta;11,3;8,5;20,3
2022;Nariño;17,6;12,7;21,4
2022;Norte de Santander;18,5;13;39,8
2022;Quindío;10;9,3;15,3
2022;Risaralda;10;6,6;23,9
2022;Santander;10,4;7,4;20,6
2022;Sucre;26;19,8;36
2022;Tolima;10,5;5,4;22
2022;Valle del Cauca;9,7;8;19,4
2022;Arauca;22,6;22,4;22,9
2022;Casanare;13,3;10,7;20
2022;Putumayo;20,8;14,7;27,2
2022;San Andrés;8,8;8,8;
2022;Amazonas;27,9;23,5;32,3
2022;Guainía;46,5;39,9;52,2
2022;Guaviare;26,9;21,7;33,7
2022;Vaupés;47,1;15;59,7
2022;Vichada;75,4;36,1;87,9
2023;Antioquia;9,5;5,9;24,2
2023;Atlántico;12;11,3;25,7
2023;Bogotá D.C.;3,6;3,6;11,7
2023;Bolívar;18,4;14,9;28
2023;Boyacá;9,9;5,4;17
2023;Caldas;7,4;4,8;16,3
2023;Caquetá;17,2;11,3;28,6
2023;Cauca;15,8;6,8;20,9
2023;Cesar;17,7;13,2;30,9
2023;Córdoba;21,4;12,6;30,6
2023;Cundinamarca;7,6;7,8;7,1
2023;Chocó;37,4;25,5;46,4
2023;Huila;11,9;7,2;19,1
2023;La Guajira;42,6;23,6;61,7
2023;Magdalena;21,4;15,9;33
2023;Meta;12,9;10,6;20,2
2023;Nariño;16,6;11,6;20,5
2023;Norte de Santander;20,5;16,4;36,2
2023;Quindío;7,5;6,7;13,5
2023;Risaralda;11,8;8,8;24
2023;Santander;9,8;6,6;20,7
2023;Sucre;23,1;15,9;34,6
2023;Tolima;12,9;8;23,9
2023;Valle del Cauca;7,2;5,8;15,8
2023;Arauca;22,8;20,7;26,6
2023;Casanare;15;12,5;21,4
2023;Putumayo;13,2;10,5;16,1
2023;San Andrés;5;5;
2023;Amazonas;25,4;18,6;32,6
2023;Guainía;52,1;46,4;57
2023;Guaviare;30,6;18,5;46,5
2023;Vaupés;55,7;16,6;70,9
2023;Vichada;65,4;33,6;75,4
2024;Antioquia;10,9;8,4;21,2
2024;Atlántico;9,5;8,6;26,4
2024;Bogotá D.C.;5,4;5,4;10,8
2024;Bolívar;15,6;13,5;21,5
2024;Boyacá;6,9;3,7;12,1
2024;Caldas;9,2;6;20,3
2024;Caquetá;13,9;8,6;24,2
2024;Cauca;14;7,5;17,6
2024;Cesar;13,4;10,7;21,3
2024;Córdoba;25,7;13;38,9
2024;Cundinamarca;7,4;6,8;9,4
2024;Chocó;33,9;18,8;45,2
