fecha,año,mes,mes_nombre,Departamento,Analfabetismo,Bajo_logro_educativo,Barreras_acceso_salud,Desempleo_larga_duracion,Inasistencia_escolar,Rezago_escolar,Sin_aseguramiento_salud,Trabajo_informal
2022-01-01,2022,1,January,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-02-01,2022,2,February,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-03-01,2022,3,March,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-04-01,2022,4,April,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-05-01,2022,5,May,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-06-01,2022,6,June,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-07-01,2022,7,July,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-08-01,2022,8,August,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-09-01,2022,9,September,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-10-01,2022,10,October,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-11-01,2022,11,November,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2022-12-01,2022,12,December,Amazonas,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6
2023-01-01,2023,1,January,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-02-01,2023,2,February,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-03-01,2023,3,March,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-04-01,2023,4,April,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-05-01,2023,5,May,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-06-01,2023,6,June,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-07-01,2023,7,July,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-08-01,2023,8,August,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-09-01,2023,9,September,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-10-01,2023,10,October,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-11-01,2023,11,November,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2023-12-01,2023,12,December,Amazonas,7.2,42.4,5.0,11.6,3.5,29.7,5.2,79.2
2024-01-01,2024,1,January,Amazonas,7.7,43.2,5.1,5.3,1.9,29.8,3.7,81.6
2024-02-01,2024,2,February,Amazonas,7.7,43.2,5.1,5.3,1.9,29.8,3.7,81.6
2024-03-01,2024,3,March,Amazonas,7.7,43.2,5.1,5.3,1.9,29.8,3.7,81.6
